id,groupId,name,description,startDate,endDate,formattedLocation,countryDescription,attendeesCount,companyAttendeesCount,investorAttendeesCount,attendeeNamesConcatString,industrySectorsConcatString,industryGroupsConcatString,industryCodesConcatString
11402,10922,iC³ Life Science and Healthcare Innovation Summit 2025,"iC³ Life Science and Healthcare Innovation Summit is an event hosted for professionals focused on Medical & Pharma. The event brings together leaders, innovators, and visionaries from the life sciences and healthcare sectors to foster collaboration and drive advancements in the industry, allowing attendees to have the opportunity to engage in thought-provoking discussions, attend insightful panels, and network with key stakeholders.",2025-09-16,2025-09-17,"Dallas, Texas",United States,,,,,Healthcare,Healthcare Services,Other Healthcare Services
13527,12793,Doctoral Defense of J.C. Esteves Martins 2025,"Doctoral Defense of J.C. Esteves Martins 2025 is an event hosted for academic scholars, research supervisors, graduate students, and subject matter experts focused on evaluating and celebrating original contributions to the field of study presented by doctoral candidate J.C. Esteves Martins. The event brings together industry professionals to connect on topics of focus related to the candidate’s dissertation, allowing attendees to engage in scholarly dialogue, assess the rigor and relevance of the research, and support the advancement of academic excellence.",2025-10-08,2025-10-08,"Delft, Netherlands",Netherlands,,,,,Business Products and Services (B2B),Commercial Services,Security Services (B2B)
5042,4935,Neuroscience of the Everyday World Conference 2025,"Neuroscience of the Everyday World Conference 2025 is an event hosted for cognitive scientists, neuroscientists, and applied technology researchers. The event brings together industry professionals to connect on real-world applications of neuroscience, allowing attendees to explore how tools like fNIRS and EEG can be used to study cognition in naturalistic settings and advance understanding of brain function in everyday environments.",2025-07-28,2025-07-29,"Boston, Massachusetts",United States,8,8,,"ANT Neuro, Artinis Medical Systems, Edmund Optics, Gowerlabs, Kernel (Monitoring Equipment), NIRx Medical Technologies, OptiTrack, iMotions",Healthcare,Healthcare Services,Other Healthcare Services
11408,10928,P3 Fall Conference 2025,"P3 2025 Fall Conference is an event hosted for financial services professionals using Fiserv Premier software. The event brings together banks and data center leaders to connect on best practices and software utilization, allowing attendees to exchange ideas, techniques, and insights for optimizing Premier product deployment.",2025-09-16,2025-09-18,"Omaha, Nebraska",United States,,,,,Financial Services,Other Financial Services,Other Financial Services
5044,4937,The Modesto Home Improvement Show 2025,"The Modesto Home Improvement Show is an event hosted for homeowners and individuals focused on home improvement. The event brings together home furnishing industry professionals to connect on the newest product of kitchens, bathrooms, windows, doors, roofing, HVAC, solar, pools, spas, outdoor kitchens, and more, allowing attendees to get ideas, ask questions, and find show specials from local experts to upgrade home furnishing decisions.",2025-09-19,2025-09-21,"Modesto, California",United States,,,,,"Business Products and Services (B2B), Consumer Products and Services (B2C)","Commercial Services, Consumer Durables","Home Furnishings, Other Commercial Services"
9294,8983,Annual iMIS Users Conference 2025,"Annual iMIS Users Conference 2025 is an event hosted for professionals who use or support the iMIS engagement management system. The event brings together association leaders, nonprofit professionals, consultants, and solution providers to connect on iMIS best practices, product innovations, and real-world implementation strategies, allowing attendees to maximize their iMIS investment, streamline operations, and strengthen their organizations through hands-on training, peer networking, and expert-led sessions.",2025-10-27,2025-10-29,"Nashville, Tennessee",United States,18,18,1,"Advanced Solutions International, Armstrong Enterprise Communications, Association Technologies, Bursting Silver, Clowder (Alexandria), Computer System Innovations, Get Efficient, Heuristics, Higher Logic, Insight Guide, Intuitive Business Concepts, Isg Solutions, Lane Services, OpenWater (Business/Productivity Software), PropFuel, RSM US, VideoRequest, WBT Systems, mosaic apps",Information Technology,Other Information Technology,Other Information Technology
2930,2869,IAHSS Annual Conference and Exhibition 2025,"IAHSS Annual Conference and Exhibition 2025 is an event hosted for healthcare security and safety professionals. The event brings together industry professionals to connect on best practices, emerging technologies, and leadership strategies in healthcare security, allowing attendees to enhance their expertise, engage in professional development, and collaborate on advancing safety standards across healthcare environments.",2025-06-02,2025-06-04,"Scottsdale, Arizona",United States,,,,,Healthcare,Healthcare Services,Other Healthcare Services
9296,8985,The MAC Conference 2025,"The MAC Conference 2025 is an event hosted for marketing professionals. The event brings together industry professionals to connect on topics related to the latest marketing tips and trends, allowing attendees to networking with industry leaders and creative minds.",2025-10-27,2025-10-29,"Fort Lauderdale, Florida",United States,32,32,1,"Adque, Atmosphere ( Entertainment Software), Banzai, BlastPoint, CU Solutions Group, CUInsight, Chartwell Agency, Consolidated Credit Solutions, Entertainment Benefits Group, Extole, FI GROW Solutions, Finalytics.Ai, Harness (Financial Software), InLighten, Infusion (Business/Productivity Software), Kane Graphical, Marquis, Mission Disrupt, NextLeft, PixelSpoke, Prisma Campaigns, Re:Group, Reseda Group, Rivel Administradora De Consorcios, Social Assurance, Sogolytics, Strum, The Element Group, Transfund, Trellance, TriAD CTV, Vertice AI, Vision Media (Media and Information Services)",Business Products and Services (B2B),Commercial Services,"Media and Information Services (B2B), Other Commercial Services"
7176,6992,Snowmobile USA Show & Sale 2025,"Snowmobile USA Show & Sale 2025 is an event hosted for professionals focused on Auto & Automotive. The event  brings together enthusiasts, manufacturers, and vendors from the auto and automotive industry to showcase the latest in snowmobile technology, accessories, and apparel allowing attendees to explore a wide variety of exhibits that cater to all levels of snowmobile riders, from beginners to seasoned professionals.",2025-11-07,2025-11-09,"Novi, Michigan",United States,25,25,1,"509, Bombardier Recreational Products (TSE: DOO), Central Motor Sports, Chartier Holdings, Cutco Cutlery Corporation, Dee's Marine, Grand Marais Chamber Of Commerce, Hygear Suspension, Insta360, John's Trailer Sales, Kewadin Casinos, Klotz Synthetic Lubricants, Leaf Home Solutions, Legend Mfg., Legendperformance, Leisure Features, MT ZION CHRISTIAN FELLOWSHIP, Matrix Basement Finishing, Powersports360, S & D Development and Prototype, SnowStuds, Tekrider, Togwotee Properties, Up North Sports, Woodys - International Engineering, gmformalInvestor_1745283644107wcc",Consumer Products and Services (B2C),Transportation,Automotive
9298,8987,Mayo Clinic Classical Hematology Conference: Non-Malignant Hematology and Bleeding and Thrombotic Disorders 2025,"Mayo Clinic Classical Hematology Conference: Non-Malignant Hematology and Bleeding and Thrombotic Disorders 2025 is an event hosted for hematologists, laboratory professionals, clinicians, and researchers specializing in blood disorders. The event brings together medical and diagnostic industry professionals to connect on nonmalignant hematology, bleeding disorders, thrombotic conditions, and vascular abnormalities, allowing attendees to explore clinical updates, diagnostic algorithms, and treatment strategies guided by Mayo Clinic faculty expertise.",2025-10-23,2025-10-25,"Scottsdale, Arizona",United States,,,,,Healthcare,Other Healthcare,Other Healthcare
7178,6994,Bus Industry Confederation National Conference 2025,"The Bus Industry Confederation National Conference 2025 is an event hosted for industry executives, senior managers, and government representatives. The event brings together industry professionals to connect on reform, safety, ZEBs and infrastructure, industrial relations, workforce, finance, and other sector issues, allowing attendees to engage with expert presentations, participate in networking and social activities, and explore the future of Australia’s bus and coach industry.",2025-10-29,2025-10-31,"Perth, Australia",Australia,,,,,Business Products and Services (B2B),Commercial Services,Logistics
7182,6998,Biogas Infotage 2026,"Biogas Info Days is an event hosted for manufacturers, operators, planners, farmers, political stakeholders, and experts from science and consulting focused on biogas production. The event brings together biogas industry professionals to connect on biogas generation, utilization, and innovation, allowing attendees to discuss challenges and opportunities within the biogas sector.",2026-01-28,2026-01-29,"Ulm, Germany",Germany,,,,,"Business Products and Services (B2B), Energy","Commercial Services, Energy Services","Other Commercial Services, Other Energy Services"
11434,10954,Annual ETA FinTech Policy Forum 2025,"Annual ETA FinTech Policy Forum 2025 is an event hosted for lawmakers and regulators. The event brings together industry professionals to connect on the rapid evolution of financial technology, allowing attendees to gain key insights from policymakers and industry leaders who are shaping the industry.",2025-09-18,2025-09-18,"Washington DC, District of Columbia",United States,6,6,,"Arnall Golden Gregory, Discover Global Network, King & Spalding, MasterCard (NYS: MA), Venable, Visa (NYS: V), Worldpay","Business Products and Services (B2B), Information Technology","Commercial Services, Other Information Technology","Other Commercial Services, Other Information Technology"
2948,2886,APHON Annual Conference and Exhibition 2025,"APHON Annual Conference and Exhibition 2025 is an event hosted for pediatric hematology/oncology nurses and healthcare professionals. The event brings together medical and nursing professionals to connect on clinical advancements, leadership development, and compassionate care strategies, allowing attendees to gain continuing education, explore innovative treatments, and build a supportive professional network,",2025-09-25,2025-09-27,"Providence, Rhode Island",United States,6,6,1,"Creative Educational Concepts, Jazz Pharmaceuticals (NAS: JAZZ), Leukemia & Lymphoma Society, Oncology Nursing Certification, Servier, Swedish Orphan Biovitrum (STO: SOBI), Y-mAbs Therapeutics",Healthcare,Healthcare Services,Other Healthcare Services
